"id","username","email","password","fullname","kelas","gender","nis","ekstraa","user_tipe"
"127","michael_jackson","michael_jackson@example.com","123","Michael Jackson","11 KI B","Male","10015","SDF","siswa"
"128","nina_siregar","nina_siregar@example.com","123","Nina Siregar","10 SIJA A","Female","10016","SDF","siswa"
"129","oliver_anderson","oliver_anderson@example.com","123","Oliver Anderson","11 SIJA B","Male","10017","SDF","siswa"
"130","patricia_tan","patricia_tan@example.com","123","Patricia Tan","12 GP A","Female","10018","SDF","siswa"
"131","quinn_wilson","quinn_wilson@example.com","123","Quinn Wilson","11 KA A","Male","10019","SDF","siswa"
"132","rachel_nguyen","rachel_nguyen@example.com","123","Rachel Nguyen","11 KI B","Female","10020","SDF","siswa"
"133","steven_carter","steven_carter@example.com","123","Steven Carter","10 SIJA A","Male","10021","SDF","siswa"
"134","tania_halim","tania_halim@example.com","123","Tania Halim","11 SIJA B","Female","10022","SDF","siswa"
"135","adi_nugroho","adi_nugroho@example.com","123","Adi Nugroho","10 TFLM A","Male","10101","KIR","siswa"
"136","bambang_susanto","bambang_susanto@example.com","123","Bambang Susanto","11 TITL","Male","10102","KIR","siswa"
"137","citra_wulandari","citra_wulandari@example.com","123","Citra Wulandari","11 TEK A","Female","10103","KIR","siswa"
"138","dewi_kartika","dewi_kartika@example.com","123","Dewi Kartika","11 SIJA B","Female","10104","KIR","siswa"
"139","eko_prabowo","eko_prabowo@example.com","123","Eko Prabowo","10 TOI","Male","10105","KIR","siswa"
"140","fitriani_ningsih","fitriani_ningsih@example.com","123","Fitriani Ningsih","10 TFLM A","Female","10106","KIR","siswa"
"141","gatot_subroto","gatot_subroto@example.com","123","Gatot Subroto","11 TITL","Male","10107","KIR","siswa"
"142","hendri_wijaya","hendri_wijaya@example.com","123","Hendri Wijaya","11 TEK A","Male","10108","KIR","siswa"
"143","intan_anggraeni","intan_anggraeni@example.com","123","Inta Anggraeni","11 SIJA B","Female","10109","KIR","siswa"
"144","joko_saputra","joko_saputra@example.com","123","Joko Saputra","10 TOI","Male","10110","KIR","siswa"
"145","kartini_sari","kartini_sari@example.com","123","Kartini Sari","10 TFLM A","Female","10111","KIR","siswa"
"146","lukman_hakim","lukman_hakim@example.com","123","Lukman Hakim","11 TITL","Male","10112","KIR","siswa"
"147","agus","agus_smith@example.com","123","Agus Smith","10 KA A","Male","12346","JURNALISTIK","siswa"
"148","mario","mario_john@example.com","123","Mario John","11 KA A","Male","98765","JURNALISTIK","siswa"
"149","tina","tina_williams@example.com","123","Tina Williams","12 KA A","Female","65432","JURNALISTIK","siswa"
"150","josh","josh_miller@example.com","123","Josh Miller","10 KA B","Male","12345","JURNALISTIK","siswa"
"151","sophia","sophia_davis@example.com","123","Sophia Davis","11 KA B","Female","54321","JURNALISTIK","siswa"
"152","amos","amos_thomas@example.com","123","Amos Thomas","12 KA B","Male","87654","JURNALISTIK","siswa"
"153","lea","lea_martin@example.com","123","Lea Martin","10 SIJA A","Female","23456","JURNALISTIK","siswa"
"154","jake","jake_anderson@example.com","123","Jake Anderson","11 SIJA A","Male","76543","JURNALISTIK","siswa"
"155","nina","nina_clark@example.com","123","Nina Clark","12 SIJA A","Female","54321","JURNALISTIK","siswa"
"156","emmett","emmett_rodriguez@example.com","123","Emmett Rodriguez","10 SIJA B","Male","45678","JURNALISTIK","siswa"
"157","olivia","olivia_lee@example.com","123","Olivia Lee","11 SIJA B","Female","98765","JURNALISTIK","siswa"
"158","david","david_hernandez@example.com","123","David Hernandez","12 SIJA B","Male","87654","JURNALISTIK","siswa"
"159","gina","gina_garcia@example.com","123","Gina Garcia","10 TOI A","Female","34567","JURNALISTIK","siswa"
"160","lucas","lucas_martinez@example.com","123","Lucas Martinez","11 TOI A","Male","23456","JURNALISTIK","siswa"
"161","mia","mia_lopez@example.com","123","Mia Lopez","12 TOI A","Female","65432","JURNALISTIK","siswa"
"162","marcus","marcus_wilson@example.com","123","Marcus Wilson","10 TOI B","Male","12345","JURNALISTIK","siswa"
"163","ava","ava_rodriguez@example.com","123","Ava Rodriguez","11 TOI B","Female","87654","JURNALISTIK","siswa"
"164","noah","noah_martinez@example.com","123","Noah Martinez","12 TOI B","Male","54321","JURNALISTIK","siswa"
"165","lily","lily_garcia@example.com","123","Lily Garcia","10 KI A","Female","76543","JURNALISTIK","siswa"
"166","ethan","ethan_lopez@example.com","123","Ethan Lopez","11 KI A","Male","45678","JURNALISTIK","siswa"
"167","luna","luna_martinez@example.com","123","Luna Martinez","12 KI A","Female","98765","JURNALISTIK","siswa"
